N,S_wide,S_narrow,err_wide,err_narrow
100,1.16666,1.0375,0.235188,0.0984448
600,0.939806,0.914583,0.00498743,0.0316922
1100,0.839639,0.943182,0.111039,0.00141381
1600,1.00867,0.944531,0.067923,1.48903e-05
2100,0.916659,0.951786,0.0294951,0.0076955
2600,1.00213,0.938462,0.0609948,0.00641137
3100,0.900082,0.95,0.0470458,0.00580489
3600,0.942507,0.936111,0.0021282,0.00889986
4100,0.896334,0.9375,0.0510141,0.00742939
4600,0.904581,0.942935,0.0422818,0.00167536
5100,0.905493,0.941912,0.0413165,0.00275847
5600,0.953117,0.940625,0.0091045,0.00412082
6100,0.967432,0.946516,0.0242611,0.00211664
6600,0.957483,0.939962,0.0137275,0.00482264
7100,0.916072,0.939789,0.0301164,0.00500621
7600,0.887785,0.952467,0.0600653,0.00841691
8100,0.914601,0.943673,0.0316736,0.000893945
8600,0.972214,0.947093,0.0293234,0.00272715
9100,0.917727,0.953159,0.028364,0.00914981
9600,0.926641,0.94349,0.0189262,0.00108797
10100,0.93756,0.948515,0.0073654,0.0042325
10600,0.952953,0.947288,0.0089311,0.0029333
11100,0.92842,0.937162,0.0170426,0.00778707
11600,0.884212,0.943534,0.0638482,0.00104043
12100,0.929629,0.946074,0.0157627,0.00164867
12600,0.905085,0.955159,0.041749,0.0112666
13100,0.978893,0.942748,0.036395,0.00187301
13600,0.99223,0.948346,0.0505153,0.00405329
14100,0.959113,0.945656,0.015453,0.00120574
14600,0.978207,0.947603,0.0356685,0.00326681
15100,0.969638,0.945199,0.0265967,0.000721522
15600,0.935444,0.944631,0.00960619,0.000120934
16100,0.940813,0.943168,0.00392187,0.00142876
16600,0.906618,0.944729,0.040125,0.000224167
17100,0.943786,0.93867,0.000773822,0.00619109
17600,0.961718,0.941264,0.0182113,0.00344407
18100,0.942671,0.943646,0.00195443,0.000921928
18600,0.951828,0.945094,0.00774077,0.000610788
19100,0.91215,0.939136,0.0342684,0.00569715
19600,0.970229,0.947385,0.0272227,0.00303649
20100,0.937872,0.93296,0.00703583,0.0122359
20600,0.921243,0.941626,0.0246412,0.00306079
21100,0.943646,0.941588,0.000922169,0.00310159
21600,0.95376,0.942766,0.00978527,0.00185384
22100,0.910625,0.945192,0.0358827,0.00071478
22600,0.970923,0.948838,0.027957,0.00457515
23100,0.952433,0.941342,0.00838041,0.00336171
23600,0.940493,0.945551,0.0042605,0.00109438
24100,0.985929,0.950156,0.0438449,0.00596963
24600,0.938226,0.948425,0.00666112,0.00413715
25100,0.936191,0.944522,0.00881492,5.00409e-06
25600,0.933857,0.948145,0.0112867,0.00384042
26100,0.965136,0.949665,0.0218302,0.00544994
26600,0.971483,0.943515,0.0285494,0.00106102
27100,0.933469,0.945157,0.0116977,0.000677214
27600,0.945795,0.941848,0.00135261,0.00282616
28100,0.917894,0.950534,0.0281869,0.00637005
28600,0.93958,0.944668,0.00522736,0.000159496
29100,0.944818,0.945275,0.000318364,0.000802239
29600,0.936084,0.942779,0.00892853,0.00184059
30100,0.934746,0.943023,0.0103449,0.00158169
30600,0.957599,0.943668,0.0138499,0.00089875
31100,0.929074,0.940193,0.0163508,0.00457828
31600,0.959599,0.94193,0.0159682,0.00273876
32100,0.928903,0.947002,0.0165312,0.00263031
32600,0.956408,0.944133,0.012589,0.000406293
33100,0.978382,0.945166,0.0358538,0.000687099
33600,0.916659,0.948549,0.0294951,0.00426876
34100,0.943418,0.942999,0.00116394,0.00160786
34600,0.945239,0.944075,0.000764091,0.000468008
35100,0.911831,0.945655,0.0346061,0.00120494
35600,0.942173,0.943329,0.00248158,0.00125835
36100,0.944205,0.945464,0.000330285,0.00100242
36600,0.92865,0.943682,0.0167993,0.00088457
