Size,DataType,Algorithm,TimeMicroseconds
500,Random,MergeSort,359.400000
500,Random,HybridMergeSort,131.400000
500,Reversed,MergeSort,304.400000
500,Reversed,HybridMergeSort,126.200000
500,AlmostSorted,MergeSort,296.000000
500,AlmostSorted,HybridMergeSort,60.000000
600,Random,MergeSort,374.400000
600,Random,HybridMergeSort,138.000000
600,Reversed,MergeSort,327.000000
600,Reversed,HybridMergeSort,140.400000
600,AlmostSorted,MergeSort,297.000000
600,AlmostSorted,HybridMergeSort,65.000000
700,Random,MergeSort,388.200000
700,Random,HybridMergeSort,148.800000
700,Reversed,MergeSort,320.800000
700,Reversed,HybridMergeSort,139.000000
700,AlmostSorted,MergeSort,301.000000
700,AlmostSorted,HybridMergeSort,66.000000
800,Random,MergeSort,406.400000
800,Random,HybridMergeSort,158.400000
800,Reversed,MergeSort,314.400000
800,Reversed,HybridMergeSort,159.000000
800,AlmostSorted,MergeSort,320.400000
800,AlmostSorted,HybridMergeSort,70.200000
900,Random,MergeSort,411.600000
900,Random,HybridMergeSort,158.200000
900,Reversed,MergeSort,329.000000
900,Reversed,HybridMergeSort,143.600000
900,AlmostSorted,MergeSort,336.600000
900,AlmostSorted,HybridMergeSort,88.600000
1000,Random,MergeSort,407.600000
1000,Random,HybridMergeSort,166.600000
1000,Reversed,MergeSort,348.400000
1000,Reversed,HybridMergeSort,154.000000
1000,AlmostSorted,MergeSort,333.400000
1000,AlmostSorted,HybridMergeSort,90.200000
1100,Random,MergeSort,436.600000
1100,Random,HybridMergeSort,177.800000
1100,Reversed,MergeSort,353.200000
1100,Reversed,HybridMergeSort,160.000000
1100,AlmostSorted,MergeSort,355.000000
1100,AlmostSorted,HybridMergeSort,97.400000
1200,Random,MergeSort,447.000000
1200,Random,HybridMergeSort,181.200000
1200,Reversed,MergeSort,368.400000
1200,Reversed,HybridMergeSort,176.000000
1200,AlmostSorted,MergeSort,374.000000
1200,AlmostSorted,HybridMergeSort,93.200000
1300,Random,MergeSort,459.800000
1300,Random,HybridMergeSort,193.200000
1300,Reversed,MergeSort,380.400000
1300,Reversed,HybridMergeSort,187.400000
1300,AlmostSorted,MergeSort,388.600000
1300,AlmostSorted,HybridMergeSort,96.600000
1400,Random,MergeSort,476.600000
1400,Random,HybridMergeSort,201.600000
1400,Reversed,MergeSort,390.000000
1400,Reversed,HybridMergeSort,206.000000
1400,AlmostSorted,MergeSort,404.400000
1400,AlmostSorted,HybridMergeSort,103.000000
1500,Random,MergeSort,513.000000
1500,Random,HybridMergeSort,216.600000
1500,Reversed,MergeSort,413.000000
1500,Reversed,HybridMergeSort,223.200000
1500,AlmostSorted,MergeSort,434.000000
1500,AlmostSorted,HybridMergeSort,108.600000
1600,Random,MergeSort,549.200000
1600,Random,HybridMergeSort,233.400000
1600,Reversed,MergeSort,446.000000
1600,Reversed,HybridMergeSort,247.400000
1600,AlmostSorted,MergeSort,469.200000
1600,AlmostSorted,HybridMergeSort,115.200000
1700,Random,MergeSort,579.200000
1700,Random,HybridMergeSort,258.400000
1700,Reversed,MergeSort,476.600000
1700,Reversed,HybridMergeSort,215.800000
1700,AlmostSorted,MergeSort,492.600000
1700,AlmostSorted,HybridMergeSort,148.600000
1800,Random,MergeSort,615.600000
1800,Random,HybridMergeSort,267.600000
1800,Reversed,MergeSort,506.800000
1800,Reversed,HybridMergeSort,232.800000
1800,AlmostSorted,MergeSort,520.400000
1800,AlmostSorted,HybridMergeSort,155.400000
1900,Random,MergeSort,645.200000
1900,Random,HybridMergeSort,286.800000
1900,Reversed,MergeSort,532.600000
1900,Reversed,HybridMergeSort,249.400000
1900,AlmostSorted,MergeSort,545.200000
1900,AlmostSorted,HybridMergeSort,160.400000
2000,Random,MergeSort,675.600000
2000,Random,HybridMergeSort,295.800000
2000,Reversed,MergeSort,565.000000
2000,Reversed,HybridMergeSort,259.200000
2000,AlmostSorted,MergeSort,573.000000
2000,AlmostSorted,HybridMergeSort,170.400000
2100,Random,MergeSort,720.600000
2100,Random,HybridMergeSort,321.600000
2100,Reversed,MergeSort,605.000000
2100,Reversed,HybridMergeSort,286.400000
2100,AlmostSorted,MergeSort,606.400000
2100,AlmostSorted,HybridMergeSort,177.200000
2200,Random,MergeSort,766.000000
2200,Random,HybridMergeSort,331.200000
2200,Reversed,MergeSort,621.200000
2200,Reversed,HybridMergeSort,303.400000
2200,AlmostSorted,MergeSort,639.600000
2200,AlmostSorted,HybridMergeSort,188.800000
2300,Random,MergeSort,801.400000
2300,Random,HybridMergeSort,351.400000
2300,Reversed,MergeSort,655.400000
2300,Reversed,HybridMergeSort,324.600000
2300,AlmostSorted,MergeSort,675.200000
2300,AlmostSorted,HybridMergeSort,206.000000
2400,Random,MergeSort,858.600000
2400,Random,HybridMergeSort,387.200000
2400,Reversed,MergeSort,730.400000
2400,Reversed,HybridMergeSort,338.600000
2400,AlmostSorted,MergeSort,735.600000
2400,AlmostSorted,HybridMergeSort,203.800000
2500,Random,MergeSort,901.600000
2500,Random,HybridMergeSort,401.000000
2500,Reversed,MergeSort,747.400000
2500,Reversed,HybridMergeSort,370.000000
2500,AlmostSorted,MergeSort,757.400000
2500,AlmostSorted,HybridMergeSort,226.800000
2600,Random,MergeSort,919.200000
2600,Random,HybridMergeSort,401.600000
2600,Reversed,MergeSort,774.800000
2600,Reversed,HybridMergeSort,379.800000
2600,AlmostSorted,MergeSort,784.400000
2600,AlmostSorted,HybridMergeSort,227.400000
2700,Random,MergeSort,972.000000
2700,Random,HybridMergeSort,451.800000
2700,Reversed,MergeSort,812.400000
2700,Reversed,HybridMergeSort,430.400000
2700,AlmostSorted,MergeSort,848.200000
2700,AlmostSorted,HybridMergeSort,243.800000
2800,Random,MergeSort,1013.600000
2800,Random,HybridMergeSort,451.800000
2800,Reversed,MergeSort,830.400000
2800,Reversed,HybridMergeSort,421.800000
2800,AlmostSorted,MergeSort,849.000000
2800,AlmostSorted,HybridMergeSort,241.600000
2900,Random,MergeSort,1031.800000
2900,Random,HybridMergeSort,467.800000
2900,Reversed,MergeSort,835.400000
2900,Reversed,HybridMergeSort,443.200000
2900,AlmostSorted,MergeSort,874.400000
2900,AlmostSorted,HybridMergeSort,251.400000
3000,Random,MergeSort,1051.200000
3000,Random,HybridMergeSort,476.600000
3000,Reversed,MergeSort,856.800000
3000,Reversed,HybridMergeSort,457.000000
3000,AlmostSorted,MergeSort,906.600000
3000,AlmostSorted,HybridMergeSort,261.000000
3100,Random,MergeSort,1106.000000
3100,Random,HybridMergeSort,503.000000
3100,Reversed,MergeSort,916.200000
3100,Reversed,HybridMergeSort,496.400000
3100,AlmostSorted,MergeSort,939.400000
3100,AlmostSorted,HybridMergeSort,272.400000
3200,Random,MergeSort,1146.400000
3200,Random,HybridMergeSort,519.400000
3200,Reversed,MergeSort,951.400000
3200,Reversed,HybridMergeSort,523.200000
3200,AlmostSorted,MergeSort,980.200000
3200,AlmostSorted,HybridMergeSort,278.200000
3300,Random,MergeSort,1177.800000
3300,Random,HybridMergeSort,537.400000
3300,Reversed,MergeSort,954.600000
3300,Reversed,HybridMergeSort,436.600000
3300,AlmostSorted,MergeSort,1016.400000
3300,AlmostSorted,HybridMergeSort,347.800000
3400,Random,MergeSort,1239.200000
3400,Random,HybridMergeSort,557.400000
3400,Reversed,MergeSort,1030.200000
3400,Reversed,HybridMergeSort,493.400000
3400,AlmostSorted,MergeSort,1049.200000
3400,AlmostSorted,HybridMergeSort,339.400000
3500,Random,MergeSort,1277.200000
3500,Random,HybridMergeSort,574.200000
3500,Reversed,MergeSort,1075.400000
3500,Reversed,HybridMergeSort,485.600000
3500,AlmostSorted,MergeSort,1096.800000
3500,AlmostSorted,HybridMergeSort,349.800000
3600,Random,MergeSort,1317.600000
3600,Random,HybridMergeSort,617.000000
3600,Reversed,MergeSort,1078.600000
3600,Reversed,HybridMergeSort,509.200000
3600,AlmostSorted,MergeSort,1117.400000
3600,AlmostSorted,HybridMergeSort,379.400000
3700,Random,MergeSort,1341.800000
3700,Random,HybridMergeSort,633.400000
3700,Reversed,MergeSort,1107.600000
3700,Reversed,HybridMergeSort,542.400000
3700,AlmostSorted,MergeSort,1151.200000
3700,AlmostSorted,HybridMergeSort,376.400000
3800,Random,MergeSort,1377.200000
3800,Random,HybridMergeSort,647.800000
3800,Reversed,MergeSort,1144.000000
3800,Reversed,HybridMergeSort,549.000000
