Size,DataType,Algorithm,TimeMicroseconds
500,Random,QuickSort,132.400000
500,Random,HybridQuickSort,87.400000
500,Reversed,QuickSort,105.600000
500,Reversed,HybridQuickSort,58.600000
500,AlmostSorted,QuickSort,100.400000
500,AlmostSorted,HybridQuickSort,42.400000
600,Random,QuickSort,133.400000
600,Random,HybridQuickSort,89.400000
600,Reversed,QuickSort,106.800000
600,Reversed,HybridQuickSort,61.200000
600,AlmostSorted,QuickSort,96.200000
600,AlmostSorted,HybridQuickSort,47.600000
700,Random,QuickSort,167.000000
700,Random,HybridQuickSort,106.800000
700,Reversed,QuickSort,125.800000
700,Reversed,HybridQuickSort,69.600000
700,AlmostSorted,QuickSort,114.400000
700,AlmostSorted,HybridQuickSort,54.800000
800,Random,QuickSort,183.400000
800,Random,HybridQuickSort,116.400000
800,Reversed,QuickSort,122.600000
800,Reversed,HybridQuickSort,71.800000
800,AlmostSorted,QuickSort,117.200000
800,AlmostSorted,HybridQuickSort,54.400000
900,Random,QuickSort,193.400000
900,Random,HybridQuickSort,126.200000
900,Reversed,QuickSort,142.400000
900,Reversed,HybridQuickSort,84.000000
900,AlmostSorted,QuickSort,131.200000
900,AlmostSorted,HybridQuickSort,56.600000
1000,Random,QuickSort,190.200000
1000,Random,HybridQuickSort,129.200000
1000,Reversed,QuickSort,141.600000
1000,Reversed,HybridQuickSort,90.600000
1000,AlmostSorted,QuickSort,135.600000
1000,AlmostSorted,HybridQuickSort,66.600000
1100,Random,QuickSort,202.600000
1100,Random,HybridQuickSort,134.600000
1100,Reversed,QuickSort,149.800000
1100,Reversed,HybridQuickSort,88.000000
1100,AlmostSorted,QuickSort,137.200000
1100,AlmostSorted,HybridQuickSort,68.000000
1200,Random,QuickSort,204.400000
1200,Random,HybridQuickSort,145.200000
1200,Reversed,QuickSort,158.400000
1200,Reversed,HybridQuickSort,90.600000
1200,AlmostSorted,QuickSort,135.600000
1200,AlmostSorted,HybridQuickSort,68.800000
1300,Random,QuickSort,212.600000
1300,Random,HybridQuickSort,146.400000
1300,Reversed,QuickSort,157.000000
1300,Reversed,HybridQuickSort,95.200000
1300,AlmostSorted,QuickSort,150.600000
1300,AlmostSorted,HybridQuickSort,75.200000
1400,Random,QuickSort,213.200000
1400,Random,HybridQuickSort,147.800000
1400,Reversed,QuickSort,163.400000
1400,Reversed,HybridQuickSort,94.000000
1400,AlmostSorted,QuickSort,152.600000
1400,AlmostSorted,HybridQuickSort,76.600000
1500,Random,QuickSort,230.000000
1500,Random,HybridQuickSort,152.400000
1500,Reversed,QuickSort,170.200000
1500,Reversed,HybridQuickSort,103.000000
1500,AlmostSorted,QuickSort,159.000000
1500,AlmostSorted,HybridQuickSort,82.400000
1600,Random,QuickSort,240.000000
1600,Random,HybridQuickSort,163.000000
1600,Reversed,QuickSort,169.000000
1600,Reversed,HybridQuickSort,100.200000
1600,AlmostSorted,QuickSort,162.600000
1600,AlmostSorted,HybridQuickSort,80.000000
1700,Random,QuickSort,239.600000
1700,Random,HybridQuickSort,166.200000
1700,Reversed,QuickSort,181.200000
1700,Reversed,HybridQuickSort,105.800000
1700,AlmostSorted,QuickSort,164.400000
1700,AlmostSorted,HybridQuickSort,85.600000
1800,Random,QuickSort,244.600000
1800,Random,HybridQuickSort,174.600000
1800,Reversed,QuickSort,180.800000
1800,Reversed,HybridQuickSort,109.200000
1800,AlmostSorted,QuickSort,169.400000
1800,AlmostSorted,HybridQuickSort,84.000000
1900,Random,QuickSort,249.800000
1900,Random,HybridQuickSort,177.600000
1900,Reversed,QuickSort,188.400000
1900,Reversed,HybridQuickSort,111.200000
1900,AlmostSorted,QuickSort,175.800000
1900,AlmostSorted,HybridQuickSort,92.200000
2000,Random,QuickSort,257.000000
2000,Random,HybridQuickSort,183.600000
2000,Reversed,QuickSort,192.400000
2000,Reversed,HybridQuickSort,116.800000
2000,AlmostSorted,QuickSort,183.000000
2000,AlmostSorted,HybridQuickSort,88.000000
2100,Random,QuickSort,275.600000
2100,Random,HybridQuickSort,199.200000
2100,Reversed,QuickSort,206.000000
2100,Reversed,HybridQuickSort,125.000000
2100,AlmostSorted,QuickSort,191.000000
2100,AlmostSorted,HybridQuickSort,94.600000
2200,Random,QuickSort,276.600000
2200,Random,HybridQuickSort,194.400000
2200,Reversed,QuickSort,204.200000
2200,Reversed,HybridQuickSort,124.800000
2200,AlmostSorted,QuickSort,196.600000
2200,AlmostSorted,HybridQuickSort,106.600000
2300,Random,QuickSort,279.800000
2300,Random,HybridQuickSort,200.200000
2300,Reversed,QuickSort,217.000000
2300,Reversed,HybridQuickSort,129.400000
2300,AlmostSorted,QuickSort,204.200000
2300,AlmostSorted,HybridQuickSort,106.000000
2400,Random,QuickSort,293.800000
2400,Random,HybridQuickSort,201.600000
2400,Reversed,QuickSort,212.400000
2400,Reversed,HybridQuickSort,136.800000
2400,AlmostSorted,QuickSort,206.000000
2400,AlmostSorted,HybridQuickSort,109.000000
2500,Random,QuickSort,298.800000
2500,Random,HybridQuickSort,214.400000
2500,Reversed,QuickSort,228.400000
2500,Reversed,HybridQuickSort,142.200000
2500,AlmostSorted,QuickSort,215.000000
2500,AlmostSorted,HybridQuickSort,116.600000
2600,Random,QuickSort,314.400000
2600,Random,HybridQuickSort,220.000000
2600,Reversed,QuickSort,230.400000
2600,Reversed,HybridQuickSort,140.400000
2600,AlmostSorted,QuickSort,228.600000
2600,AlmostSorted,HybridQuickSort,120.000000
2700,Random,QuickSort,324.400000
2700,Random,HybridQuickSort,227.600000
2700,Reversed,QuickSort,242.600000
2700,Reversed,HybridQuickSort,154.200000
2700,AlmostSorted,QuickSort,237.400000
2700,AlmostSorted,HybridQuickSort,128.200000
2800,Random,QuickSort,340.400000
2800,Random,HybridQuickSort,241.600000
2800,Reversed,QuickSort,254.400000
2800,Reversed,HybridQuickSort,159.000000
2800,AlmostSorted,QuickSort,249.600000
2800,AlmostSorted,HybridQuickSort,132.000000
2900,Random,QuickSort,359.400000
2900,Random,HybridQuickSort,273.200000
2900,Reversed,QuickSort,298.600000
2900,Reversed,HybridQuickSort,187.200000
2900,AlmostSorted,QuickSort,288.600000
2900,AlmostSorted,HybridQuickSort,152.200000
3000,Random,QuickSort,405.800000
3000,Random,HybridQuickSort,294.600000
3000,Reversed,QuickSort,332.800000
3000,Reversed,HybridQuickSort,191.200000
3000,AlmostSorted,QuickSort,287.400000
3000,AlmostSorted,HybridQuickSort,152.400000
3100,Random,QuickSort,414.800000
3100,Random,HybridQuickSort,302.400000
3100,Reversed,QuickSort,304.200000
3100,Reversed,HybridQuickSort,199.200000
3100,AlmostSorted,QuickSort,296.800000
3100,AlmostSorted,HybridQuickSort,158.800000
3200,Random,QuickSort,432.400000
3200,Random,HybridQuickSort,317.600000
3200,Reversed,QuickSort,315.200000
3200,Reversed,HybridQuickSort,203.000000
3200,AlmostSorted,QuickSort,300.200000
3200,AlmostSorted,HybridQuickSort,158.200000
3300,Random,QuickSort,421.800000
3300,Random,HybridQuickSort,310.000000
3300,Reversed,QuickSort,329.400000
3300,Reversed,HybridQuickSort,195.800000
3300,AlmostSorted,QuickSort,304.200000
3300,AlmostSorted,HybridQuickSort,156.200000
3400,Random,QuickSort,437.400000
3400,Random,HybridQuickSort,331.600000
3400,Reversed,QuickSort,310.600000
3400,Reversed,HybridQuickSort,198.800000
3400,AlmostSorted,QuickSort,298.000000
3400,AlmostSorted,HybridQuickSort,161.400000
3500,Random,QuickSort,445.400000
3500,Random,HybridQuickSort,312.200000
3500,Reversed,QuickSort,323.800000
3500,Reversed,HybridQuickSort,205.600000
3500,AlmostSorted,QuickSort,309.800000
3500,AlmostSorted,HybridQuickSort,174.200000
3600,Random,QuickSort,464.800000
3600,Random,HybridQuickSort,327.600000
3600,Reversed,QuickSort,350.600000
3600,Reversed,HybridQuickSort,224.400000
3600,AlmostSorted,QuickSort,347.800000
3600,AlmostSorted,HybridQuickSort,178.800000
3700,Random,QuickSort,472.800000
3700,Random,HybridQuickSort,340.400000
3700,Reversed,QuickSort,368.400000
3700,Reversed,HybridQuickSort,219.600000
3700,AlmostSorted,QuickSort,374.600000
3700,AlmostSorted,HybridQuickSort,188.200000
3800,Random,QuickSort,526.400000
3800,Random,HybridQuickSort,364.200000
3800,Reversed,QuickSort,367.600000
3800,Reversed,HybridQuickSort,220.200000
3800,AlmostSorted,QuickSort,355.200000
3800,AlmostSorted,HybridQuickSort,194.000000
3900,Random,QuickSort,519.800000
3900,Random,HybridQuickSort,392.200000
3900,Reversed,QuickSort,395.200000
3900,Reversed,HybridQuickSort,239.000000
3900,AlmostSorted,QuickSort,357.000000
3900,AlmostSorted,HybridQuickSort,206.400000
4000,Random,QuickSort,552.000000
4000,Random,HybridQuickSort,395.000000
4000,Reversed,QuickSort,398.600000
4000,Reversed,HybridQuickSort,247.000000
4000,AlmostSorted,QuickSort,395.600000
4000,AlmostSorted,HybridQuickSort,226.200000
4100,Random,QuickSort,587.200000
4100,Random,HybridQuickSort,412.400000
4100,Reversed,QuickSort,426.400000
4100,Reversed,HybridQuickSort,263.200000
4100,AlmostSorted,QuickSort,393.600000
4100,AlmostSorted,HybridQuickSort,220.400000
4200,Random,QuickSort,587.600000
4200,Random,HybridQuickSort,421.000000
4200,Reversed,QuickSort,434.800000
4200,Reversed,HybridQuickSort,270.600000
4200,AlmostSorted,QuickSort,416.800000
4200,AlmostSorted,HybridQuickSort,219.600000
4300,Random,QuickSort,596.800000
4300,Random,HybridQuickSort,437.000000
4300,Reversed,QuickSort,434.400000
4300,Reversed,HybridQuickSort,272.000000
4300,AlmostSorted,QuickSort,413.200000
4300,AlmostSorted,HybridQuickSort,229.800000
4400,Random,QuickSort,611.400000
4400,Random,HybridQuickSort,443.200000
4400,Reversed,QuickSort,429.400000
4400,Reversed,HybridQuickSort,283.200000
4400,AlmostSorted,QuickSort,409.400000
4400,AlmostSorted,HybridQuickSort,225.800000
4500,Random,QuickSort,616.800000
