array_type;algorithm;size;average_time_microseconds;average_char_comparisons;sorted
random;standard_quick_sort;100;366;14577;yes
reverse_sorted;standard_quick_sort;100;722;28295;yes
almost_sorted;standard_quick_sort;100;383;15134;yes
same_prefix;standard_quick_sort;100;676;27376;yes
random;standard_merge_sort;100;98;587;yes
reverse_sorted;standard_merge_sort;100;99;597;yes
almost_sorted;standard_merge_sort;100;101;792;yes
same_prefix;standard_merge_sort;100;288;8097;yes
random;string_quick_sort;100;37;715;yes
reverse_sorted;string_quick_sort;100;48;983;yes
almost_sorted;string_quick_sort;100;44;922;yes
same_prefix;string_quick_sort;100;48;2037;yes
random;string_merge_sort;100;91;587;yes
reverse_sorted;string_merge_sort;100;88;597;yes
almost_sorted;string_merge_sort;100;93;792;yes
same_prefix;string_merge_sort;100;266;8097;yes
random;msd_radix_sort;100;79;350;yes
reverse_sorted;msd_radix_sort;100;79;502;yes
almost_sorted;msd_radix_sort;100;62;442;yes
same_prefix;msd_radix_sort;100;174;3148;yes
random;msd_radix_quick_sort;100;15;287;yes
reverse_sorted;msd_radix_quick_sort;100;89;1634;yes
almost_sorted;msd_radix_quick_sort;100;41;782;yes
same_prefix;msd_radix_quick_sort;100;113;3092;yes
random;standard_quick_sort;200;785;30776;yes
reverse_sorted;standard_quick_sort;200;1655;67412;yes
almost_sorted;standard_quick_sort;200;885;33834;yes
same_prefix;standard_quick_sort;200;1549;63310;yes
random;standard_merge_sort;200;205;1481;yes
reverse_sorted;standard_merge_sort;200;205;1320;yes
almost_sorted;standard_merge_sort;200;220;1817;yes
same_prefix;standard_merge_sort;200;616;19307;yes
random;string_quick_sort;200;89;1454;yes
reverse_sorted;string_quick_sort;200;142;2670;yes
almost_sorted;string_quick_sort;200;112;2007;yes
same_prefix;string_quick_sort;200;120;4292;yes
random;string_merge_sort;200;208;1481;yes
reverse_sorted;string_merge_sort;200;193;1320;yes
almost_sorted;string_merge_sort;200;220;1817;yes
same_prefix;string_merge_sort;200;645;19307;yes
random;msd_radix_sort;200;166;788;yes
reverse_sorted;msd_radix_sort;200;149;994;yes
almost_sorted;msd_radix_sort;200;129;918;yes
same_prefix;msd_radix_sort;200;325;6390;yes
random;msd_radix_quick_sort;200;38;719;yes
reverse_sorted;msd_radix_quick_sort;200;186;3353;yes
almost_sorted;msd_radix_quick_sort;200;88;1633;yes
same_prefix;msd_radix_quick_sort;200;203;6325;yes
random;standard_quick_sort;300;1241;49228;yes
reverse_sorted;standard_quick_sort;300;2841;115544;yes
almost_sorted;standard_quick_sort;300;1222;48636;yes
same_prefix;standard_quick_sort;300;2525;101006;yes
random;standard_merge_sort;300;362;2510;yes
reverse_sorted;standard_merge_sort;300;350;2043;yes
almost_sorted;standard_merge_sort;300;353;2954;yes
same_prefix;standard_merge_sort;300;1071;31663;yes
random;string_quick_sort;300;138;2349;yes
reverse_sorted;string_quick_sort;300;253;4461;yes
almost_sorted;string_quick_sort;300;180;3338;yes
same_prefix;string_quick_sort;300;193;6655;yes
random;string_merge_sort;300;362;2510;yes
reverse_sorted;string_merge_sort;300;335;2043;yes
almost_sorted;string_merge_sort;300;352;2954;yes
same_prefix;string_merge_sort;300;1043;31663;yes
random;msd_radix_sort;300;218;1224;yes
reverse_sorted;msd_radix_sort;300;218;1474;yes
almost_sorted;msd_radix_sort;300;200;1380;yes
same_prefix;msd_radix_sort;300;454;9620;yes
random;msd_radix_quick_sort;300;64;1214;yes
reverse_sorted;msd_radix_quick_sort;300;284;5113;yes
almost_sorted;msd_radix_quick_sort;300;133;2458;yes
same_prefix;msd_radix_quick_sort;300;296;9599;yes
random;standard_quick_sort;400;1707;67770;yes
reverse_sorted;standard_quick_sort;400;4196;175250;yes
almost_sorted;standard_quick_sort;400;1708;68909;yes
same_prefix;standard_quick_sort;400;3303;136190;yes
random;standard_merge_sort;400;503;3630;yes
reverse_sorted;standard_merge_sort;400;453;2862;yes
almost_sorted;standard_merge_sort;400;452;4019;yes
same_prefix;standard_merge_sort;400;1416;44768;yes
random;string_quick_sort;400;206;3734;yes
reverse_sorted;string_quick_sort;400;344;6282;yes
almost_sorted;string_quick_sort;400;274;4853;yes
same_prefix;string_quick_sort;400;271;8937;yes
random;string_merge_sort;400;506;3630;yes
reverse_sorted;string_merge_sort;400;456;2862;yes
almost_sorted;string_merge_sort;400;483;4019;yes
same_prefix;string_merge_sort;400;1470;44768;yes
random;msd_radix_sort;400;259;1652;yes
reverse_sorted;msd_radix_sort;400;274;1944;yes
almost_sorted;msd_radix_sort;400;263;1848;yes
same_prefix;msd_radix_sort;400;611;12858;yes
random;msd_radix_quick_sort;400;100;1753;yes
reverse_sorted;msd_radix_quick_sort;400;414;6977;yes
almost_sorted;msd_radix_quick_sort;400;381;3354;yes
same_prefix;msd_radix_quick_sort;400;800;12927;yes
random;standard_quick_sort;500;2480;85327;yes
reverse_sorted;standard_quick_sort;500;8259;243867;yes
almost_sorted;standard_quick_sort;500;3721;85893;yes
same_prefix;standard_quick_sort;500;7675;175304;yes
random;standard_merge_sort;500;895;4814;yes
reverse_sorted;standard_merge_sort;500;946;3740;yes
almost_sorted;standard_merge_sort;500;2290;5080;yes
same_prefix;standard_merge_sort;500;12130;58511;yes
random;string_quick_sort;500;1427;4481;yes
reverse_sorted;string_quick_sort;500;1295;9188;yes
almost_sorted;string_quick_sort;500;1481;6553;yes
same_prefix;string_quick_sort;500;604;11503;yes
random;string_merge_sort;500;1002;4814;yes
reverse_sorted;string_merge_sort;500;1272;3740;yes
almost_sorted;string_merge_sort;500;1602;5080;yes
